cve_id,published_date,cvss_score,severity,os_id
CVE-2025-22215,2025-01-08 07:15:28.180,4.3,MEDIUM,2
CVE-2025-21102,2025-01-08 12:15:22.850,7.5,HIGH,2
CVE-2025-20123,2025-01-08 16:15:38.150,4.8,MEDIUM,2
CVE-2025-20126,2025-01-08 16:15:38.357,4.8,MEDIUM,2
CVE-2025-22130,2025-01-08 16:15:38.543,8.8,HIGH,2
CVE-2025-22137,2025-01-08 16:15:38.920,9.8,CRITICAL,2
CVE-2025-20166,2025-01-08 17:15:16.990,5.4,MEDIUM,2
CVE-2025-20167,2025-01-08 17:15:17.163,5.4,MEDIUM,2
CVE-2025-20168,2025-01-08 17:15:17.323,5.4,MEDIUM,2
CVE-2025-21111,2025-01-08 18:15:20.157,7.5,HIGH,2
CVE-2025-0291,2025-01-08 19:15:38.420,8.8,HIGH,2
CVE-2025-22139,2025-01-08 19:15:38.717,6.1,MEDIUM,2
CVE-2025-22140,2025-01-08 19:15:38.863,8.8,HIGH,2
CVE-2025-22141,2025-01-08 19:15:39.017,8.8,HIGH,2
CVE-2025-0194,2025-01-08 20:15:29.193,6.5,MEDIUM,2
CVE-2025-22143,2025-01-08 20:15:30.003,6.1,MEDIUM,2
CVE-2025-0282,2025-01-08 23:15:09.763,9.0,CRITICAL,2
CVE-2025-0283,2025-01-08 23:15:09.920,7.0,HIGH,2
CVE-2025-0306,2025-01-09 04:15:13.000,7.4,HIGH,2
CVE-2025-0328,2025-01-09 05:15:07.997,7.3,HIGH,2
CVE-2025-0331,2025-01-09 05:15:08.237,5.3,MEDIUM,2
CVE-2025-0333,2025-01-09 05:15:08.453,6.3,MEDIUM,2
CVE-2025-0334,2025-01-09 06:15:15.610,6.3,MEDIUM,2
CVE-2025-0335,2025-01-09 06:15:15.850,6.3,MEDIUM,2
CVE-2025-0336,2025-01-09 07:15:27.860,6.3,MEDIUM,2
CVE-2025-0339,2025-01-09 07:15:28.080,3.5,LOW,2
CVE-2025-0340,2025-01-09 07:15:28.260,7.3,HIGH,2
CVE-2025-20033,2025-01-09 07:15:28.450,4.3,MEDIUM,2
CVE-2025-22445,2025-01-09 07:15:28.617,3.5,LOW,2
CVE-2025-22449,2025-01-09 07:15:28.777,3.8,LOW,2
CVE-2025-0341,2025-01-09 08:15:30.060,6.3,MEDIUM,2
CVE-2025-0342,2025-01-09 08:15:30.310,3.5,LOW,2
CVE-2025-0344,2025-01-09 08:15:30.517,6.3,MEDIUM,2
CVE-2025-0345,2025-01-09 09:15:09.220,6.3,MEDIUM,2
CVE-2025-0346,2025-01-09 09:15:09.393,4.7,MEDIUM,2
CVE-2025-0347,2025-01-09 10:15:07.170,7.3,HIGH,2
CVE-2025-0348,2025-01-09 10:15:07.700,3.5,LOW,2
CVE-2025-0349,2025-01-09 11:15:16.547,8.8,HIGH,2
CVE-2025-22295,2025-01-09 16:16:25.140,7.1,HIGH,2
CVE-2025-22307,2025-01-09 16:16:25.347,7.1,HIGH,2
CVE-2025-22313,2025-01-09 16:16:25.653,7.1,HIGH,2
CVE-2025-22330,2025-01-09 16:16:25.840,7.1,HIGH,2
CVE-2025-22331,2025-01-09 16:16:26.180,7.1,HIGH,2
CVE-2025-22345,2025-01-09 16:16:26.620,7.1,HIGH,2
CVE-2025-22361,2025-01-09 16:16:26.830,7.1,HIGH,2
CVE-2025-22504,2025-01-09 16:16:27.110,10.0,CRITICAL,2
CVE-2025-22505,2025-01-09 16:16:27.280,8.5,HIGH,2
CVE-2025-22508,2025-01-09 16:16:27.433,8.1,HIGH,2
CVE-2025-22510,2025-01-09 16:16:27.590,7.2,HIGH,2
CVE-2025-22521,2025-01-09 16:16:27.743,7.1,HIGH,2
CVE-2025-22527,2025-01-09 16:16:27.890,7.6,HIGH,2
CVE-2025-22535,2025-01-09 16:16:28.047,8.5,HIGH,2
CVE-2025-22537,2025-01-09 16:16:28.210,8.5,HIGH,2
CVE-2025-22539,2025-01-09 16:16:28.350,7.1,HIGH,2
CVE-2025-22540,2025-01-09 16:16:28.503,9.3,CRITICAL,2
CVE-2025-22542,2025-01-09 16:16:28.670,9.3,CRITICAL,2
CVE-2025-22561,2025-01-09 16:16:28.827,4.3,MEDIUM,2
CVE-2025-22594,2025-01-09 16:16:28.983,7.1,HIGH,2
CVE-2025-22595,2025-01-09 16:16:29.160,7.1,HIGH,2
CVE-2025-22801,2025-01-09 16:16:29.323,6.5,MEDIUM,2
CVE-2025-22802,2025-01-09 16:16:29.470,6.5,MEDIUM,2
CVE-2025-22803,2025-01-09 16:16:29.627,6.5,MEDIUM,2
CVE-2025-22804,2025-01-09 16:16:29.787,6.5,MEDIUM,2
CVE-2025-22805,2025-01-09 16:16:29.937,6.5,MEDIUM,2
CVE-2025-22806,2025-01-09 16:16:30.090,6.5,MEDIUM,2
CVE-2025-22807,2025-01-09 16:16:30.253,6.5,MEDIUM,2
CVE-2025-22808,2025-01-09 16:16:30.403,6.5,MEDIUM,2
CVE-2025-22809,2025-01-09 16:16:30.557,6.5,MEDIUM,2
CVE-2025-22810,2025-01-09 16:16:30.713,6.5,MEDIUM,2
CVE-2025-22811,2025-01-09 16:16:30.880,6.5,MEDIUM,2
CVE-2025-22812,2025-01-09 16:16:31.047,6.5,MEDIUM,2
CVE-2025-22813,2025-01-09 16:16:31.200,6.5,MEDIUM,2
CVE-2025-22814,2025-01-09 16:16:31.370,7.1,HIGH,2
CVE-2025-22815,2025-01-09 16:16:31.543,6.5,MEDIUM,2
CVE-2025-22817,2025-01-09 16:16:31.693,6.5,MEDIUM,2
CVE-2025-22818,2025-01-09 16:16:31.850,6.5,MEDIUM,2
CVE-2025-22819,2025-01-09 16:16:32.000,6.5,MEDIUM,2
CVE-2025-22820,2025-01-09 16:16:32.173,6.5,MEDIUM,2
CVE-2025-22821,2025-01-09 16:16:32.363,6.5,MEDIUM,2
CVE-2025-22822,2025-01-09 16:16:32.557,6.5,MEDIUM,2
CVE-2025-22823,2025-01-09 16:16:32.717,6.5,MEDIUM,2
CVE-2025-22824,2025-01-09 16:16:32.893,6.5,MEDIUM,2
CVE-2025-22826,2025-01-09 16:16:33.047,6.5,MEDIUM,2
CVE-2025-22827,2025-01-09 16:16:33.200,6.5,MEDIUM,2
CVE-2025-21592,2025-01-09 17:15:18.203,5.5,MEDIUM,2
CVE-2025-21593,2025-01-09 17:15:18.380,6.5,MEDIUM,2
CVE-2025-21596,2025-01-09 17:15:18.593,5.5,MEDIUM,2
CVE-2025-21599,2025-01-09 17:15:18.770,7.5,HIGH,2
CVE-2025-21600,2025-01-09 17:15:18.960,6.5,MEDIUM,2
CVE-2025-21602,2025-01-09 17:15:19.150,6.5,MEDIUM,2
CVE-2025-21628,2025-01-09 18:15:30.070,9.1,CRITICAL,2
CVE-2025-21598,2025-01-09 19:15:20.123,7.5,HIGH,2
CVE-2025-22151,2025-01-09 19:15:20.410,3.7,LOW,2
CVE-2025-21385,2025-01-09 22:15:29.980,8.8,HIGH,2
CVE-2025-21380,2025-01-09 23:15:08.340,8.8,HIGH,2
CVE-2025-0311,2025-01-10 07:15:08.507,6.4,MEDIUM,2
CVE-2025-23016,2025-01-10 12:15:25.480,9.3,CRITICAL,2
CVE-2025-22946,2025-01-10 15:15:16.710,9.8,CRITICAL,2
CVE-2025-23022,2025-01-10 15:15:16.967,4.0,MEDIUM,2
CVE-2025-22152,2025-01-10 16:15:29.910,9.1,CRITICAL,2
CVE-2025-22596,2025-01-10 16:15:30.143,6.5,MEDIUM,2
CVE-2025-22597,2025-01-10 16:15:30.343,8.3,HIGH,2
CVE-2025-22598,2025-01-10 16:15:30.540,8.3,HIGH,2
CVE-2025-22599,2025-01-10 16:15:30.737,6.5,MEDIUM,2
CVE-2025-22600,2025-01-10 16:15:30.940,6.5,MEDIUM,2
CVE-2025-22949,2025-01-10 16:15:31.137,9.8,CRITICAL,2
CVE-2025-23078,2025-01-10 18:15:26.877,6.5,MEDIUM,2
CVE-2025-23079,2025-01-10 19:15:38.353,6.1,MEDIUM,2
CVE-2025-23110,2025-01-10 22:15:27.550,6.1,MEDIUM,2
CVE-2025-23111,2025-01-10 22:15:27.723,4.7,MEDIUM,2
CVE-2025-23112,2025-01-10 22:15:27.863,6.1,MEDIUM,2
CVE-2025-23113,2025-01-10 22:15:28.023,3.4,LOW,2
CVE-2025-0103,2025-01-11 03:15:22.020,8.8,HIGH,2
CVE-2025-0104,2025-01-11 03:15:22.183,6.1,MEDIUM,2
CVE-2025-0105,2025-01-11 03:15:22.317,9.1,CRITICAL,2
CVE-2025-0106,2025-01-11 03:15:22.490,5.3,MEDIUM,2
CVE-2025-0107,2025-01-11 03:15:22.637,9.8,CRITICAL,2
CVE-2025-23108,2025-01-11 04:15:06.280,4.3,MEDIUM,2
CVE-2025-23109,2025-01-11 04:15:06.367,6.5,MEDIUM,2
CVE-2025-0390,2025-01-11 08:15:26.527,5.3,MEDIUM,2
CVE-2025-0391,2025-01-11 09:15:05.937,6.3,MEDIUM,2
CVE-2025-0392,2025-01-11 11:15:06.657,6.3,MEDIUM,2
CVE-2025-0396,2025-01-12 12:15:17.963,7.8,HIGH,2
CVE-2025-0397,2025-01-12 13:15:07.333,3.5,LOW,2
CVE-2025-0398,2025-01-12 14:15:08.993,2.4,LOW,2
CVE-2025-0399,2025-01-12 23:15:07.050,4.7,MEDIUM,2
CVE-2025-0400,2025-01-12 23:15:07.260,2.4,LOW,2
CVE-2025-0401,2025-01-13 00:15:06.807,5.3,MEDIUM,2
CVE-2025-0402,2025-01-13 00:15:07.707,6.3,MEDIUM,2
CVE-2025-0403,2025-01-13 00:15:07.873,5.3,MEDIUM,2
CVE-2025-0404,2025-01-13 01:15:07.227,6.3,MEDIUM,2
CVE-2025-0405,2025-01-13 01:15:07.430,6.3,MEDIUM,2
CVE-2025-0406,2025-01-13 02:15:07.490,6.3,MEDIUM,2
CVE-2025-0407,2025-01-13 02:15:07.667,6.3,MEDIUM,2
CVE-2025-0408,2025-01-13 02:15:07.840,6.3,MEDIUM,2
CVE-2025-0409,2025-01-13 03:15:06.667,6.3,MEDIUM,2
CVE-2025-0410,2025-01-13 03:15:06.847,6.3,MEDIUM,2
CVE-2025-22828,2025-01-13 13:16:12.233,4.3,MEDIUM,2
CVE-2025-22314,2025-01-13 14:15:10.270,7.1,HIGH,2
CVE-2025-22337,2025-01-13 14:15:10.440,7.1,HIGH,2
CVE-2025-22344,2025-01-13 14:15:10.613,7.1,HIGH,2
CVE-2025-22498,2025-01-13 14:15:10.787,7.1,HIGH,2
CVE-2025-22499,2025-01-13 14:15:10.960,7.1,HIGH,2
CVE-2025-22506,2025-01-13 14:15:11.127,7.1,HIGH,2
CVE-2025-22514,2025-01-13 14:15:11.290,7.1,HIGH,2
CVE-2025-22567,2025-01-13 14:15:11.460,7.1,HIGH,2
CVE-2025-22568,2025-01-13 14:15:11.610,7.1,HIGH,2
CVE-2025-22569,2025-01-13 14:15:11.787,7.1,HIGH,2
CVE-2025-22570,2025-01-13 14:15:11.940,7.1,HIGH,2
CVE-2025-22576,2025-01-13 14:15:12.117,7.1,HIGH,2
CVE-2025-22583,2025-01-13 14:15:12.300,7.1,HIGH,2
CVE-2025-22586,2025-01-13 14:15:12.490,7.1,HIGH,2
CVE-2025-22588,2025-01-13 14:15:12.660,7.1,HIGH,2
CVE-2025-22777,2025-01-13 14:15:12.900,9.8,CRITICAL,2
CVE-2025-22800,2025-01-13 14:15:13.067,4.3,MEDIUM,2
CVE-2025-22963,2025-01-13 16:15:19.367,7.5,HIGH,2
CVE-2025-22142,2025-01-13 20:15:29.677,5.4,MEDIUM,2
CVE-2025-22144,2025-01-13 20:15:29.817,9.8,CRITICAL,2
CVE-2025-23026,2025-01-13 20:15:30.003,6.1,MEDIUM,2
CVE-2025-22134,2025-01-13 21:15:14.333,4.2,MEDIUM,2
CVE-2025-22613,2025-01-13 21:15:14.837,5.4,MEDIUM,2
CVE-2025-22614,2025-01-13 21:15:14.967,5.4,MEDIUM,2
CVE-2025-22615,2025-01-13 21:15:15.110,6.1,MEDIUM,2
CVE-2025-22616,2025-01-13 21:15:15.237,5.4,MEDIUM,2
CVE-2025-22617,2025-01-13 21:15:15.370,6.1,MEDIUM,2
CVE-2025-22618,2025-01-13 21:15:15.500,5.4,MEDIUM,2
CVE-2025-22619,2025-01-13 21:15:15.620,6.1,MEDIUM,2
CVE-2025-0053,2025-01-14 01:15:15.403,5.3,MEDIUM,2
CVE-2025-0055,2025-01-14 01:15:15.570,6.0,MEDIUM,2
CVE-2025-0056,2025-01-14 01:15:15.730,6.0,MEDIUM,2
